tanggal,jenis_transaksi,kategori_transaksi,jumlah,keterangan
2024-11-10,Pemasukan,penjualan,15467,Pemasukan - penjualan
2024-05-09,Pengeluaran,listrik,160192,Pengeluaran - listrik
2024-03-03,Pengeluaran,listrik,250166,Pengeluaran - listrik
2024-09-03,Pemasukan,penjualan,245513,Pemasukan - penjualan
2024-05-10,Pemasukan,penjualan,453113,Pemasukan - penjualan
2024-06-07,Pengeluaran,transportasi,416535,Pengeluaran - transportasi
2024-02-22,Pengeluaran,perlengkapan,437743,Pengeluaran - perlengkapan
2024-05-24,Pemasukan,penjualan,194908,Pemasukan - penjualan
2024-10-09,Pengeluaran,listrik,245881,Pengeluaran - listrik
2024-07-02,Pemasukan,penjualan,472967,Pemasukan - penjualan
2024-02-16,Pemasukan,penjualan,320982,Pemasukan - penjualan
2024-02-15,Pemasukan,penjualan,359680,Pemasukan - penjualan
2024-12-16,Pemasukan,penjualan,491300,Pemasukan - penjualan
2024-09-10,Pengeluaran,listrik,499895,Pengeluaran - listrik
2024-11-26,Pengeluaran,gaji,52703,Pengeluaran - gaji
2024-03-06,Pemasukan,penjualan,18815,Pemasukan - penjualan
2024-06-11,Pengeluaran,bahan baku,34510,Pengeluaran - bahan baku
2024-04-06,Pemasukan,penjualan,158629,Pemasukan - penjualan
2024-04-19,Pemasukan,penjualan,23387,Pemasukan - penjualan
2024-02-10,Pengeluaran,gaji,51809,Pengeluaran - gaji
2024-05-09,Pemasukan,penjualan,83238,Pemasukan - penjualan
2024-10-02,Pemasukan,penjualan,305903,Pemasukan - penjualan
2024-09-12,Pengeluaran,listrik,230380,Pengeluaran - listrik
2024-02-05,Pengeluaran,gaji,99575,Pengeluaran - gaji
2024-08-11,Pemasukan,penjualan,362790,Pemasukan - penjualan
2024-04-29,Pemasukan,penjualan,244420,Pemasukan - penjualan
2024-02-04,Pengeluaran,bahan baku,306451,Pengeluaran - bahan baku
2024-03-05,Pemasukan,penjualan,300313,Pemasukan - penjualan
2024-12-24,Pengeluaran,bahan baku,368646,Pengeluaran - bahan baku
2024-04-13,Pengeluaran,listrik,216395,Pengeluaran - listrik
2024-05-28,Pemasukan,penjualan,24069,Pemasukan - penjualan
2024-03-22,Pemasukan,penjualan,300643,Pemasukan - penjualan
2024-11-01,Pengeluaran,perlengkapan,384218,Pengeluaran - perlengkapan
2024-09-28,Pengeluaran,listrik,206951,Pengeluaran - listrik
2024-02-03,Pengeluaran,gaji,275909,Pengeluaran - gaji
2024-12-02,Pengeluaran,transportasi,197646,Pengeluaran - transportasi
2024-09-26,Pengeluaran,bahan baku,494449,Pengeluaran - bahan baku
2024-04-18,Pengeluaran,transportasi,429871,Pengeluaran - transportasi
2024-04-12,Pengeluaran,listrik,432704,Pengeluaran - listrik
2024-09-13,Pengeluaran,gaji,271067,Pengeluaran - gaji
2024-11-06,Pengeluaran,perlengkapan,396043,Pengeluaran - perlengkapan
2024-02-03,Pemasukan,penjualan,417434,Pemasukan - penjualan
2024-08-19,Pemasukan,penjualan,53177,Pemasukan - penjualan
2024-03-14,Pemasukan,penjualan,372464,Pemasukan - penjualan
2024-11-22,Pengeluaran,transportasi,395499,Pengeluaran - transportasi
2024-02-16,Pemasukan,penjualan,173761,Pemasukan - penjualan
2024-06-06,Pengeluaran,bahan baku,114876,Pengeluaran - bahan baku
2024-09-27,Pengeluaran,bahan baku,56306,Pengeluaran - bahan baku
2024-09-16,Pengeluaran,gaji,131752,Pengeluaran - gaji
2024-01-17,Pengeluaran,gaji,41722,Pengeluaran - gaji
2024-04-09,Pemasukan,penjualan,89314,Pemasukan - penjualan
2024-05-01,Pemasukan,penjualan,42875,Pemasukan - penjualan
2024-12-21,Pemasukan,penjualan,378520,Pemasukan - penjualan
2024-03-18,Pengeluaran,bahan baku,300536,Pengeluaran - bahan baku
2024-06-14,Pengeluaran,gaji,487921,Pengeluaran - gaji
2024-09-09,Pengeluaran,bahan baku,279830,Pengeluaran - bahan baku
2024-06-26,Pemasukan,penjualan,273525,Pemasukan - penjualan
